ticker,horizon,horizon_days,train_r2,test_r2,test_mae,test_rmse,test_mape
AAPL,short,30,0.8973,0.5896,15.1004,19.4447,6.1448
AAPL,medium,90,0.7526,-0.1088,28.2733,32.0998,11.7857
AAPL,long,180,0.6853,-0.1573,25.0738,31.4758,9.7699
AMZN,short,30,0.8307,-1.4337,25.5644,33.1523,11.2948
AMZN,medium,90,0.7114,-3.7115,36.4575,45.7401,15.8452
AMZN,long,180,0.786,-21.9078,83.1303,90.6434,36.4348
BAC,short,30,0.871,-0.4636,5.4403,6.2466,11.1833
BAC,medium,90,0.7273,-6.7633,12.7627,13.9429,25.5013
BAC,long,180,0.6623,-20.7945,18.6976,19.4832,37.2029
CVX,short,30,0.9103,0.4483,11.6013,15.2048,7.1797
CVX,medium,90,0.8246,0.0867,15.826,19.9117,9.5189
CVX,long,180,0.8125,-0.7968,19.8796,27.8419,11.407
GOOGL,short,30,0.9089,0.5299,40.8008,49.8369,15.1699
GOOGL,medium,90,0.7309,-0.4499,73.1883,86.561,26.143
GOOGL,long,180,0.4246,-2.6195,108.1862,131.3971,37.2617
GS,short,30,0.9386,0.6382,69.7555,83.8623,9.8493
GS,medium,90,0.7796,-0.1792,108.6017,146.3609,14.9252
GS,long,180,0.4729,-7.9505,286.4355,359.0306,35.0277
JNJ,short,30,0.6663,0.1456,25.0431,30.926,12.0011
JNJ,medium,90,0.5378,-1.0638,39.0715,48.148,18.4195
JNJ,long,180,0.4113,-1.8564,45.0422,55.6041,20.9672
JPM,short,30,0.9523,0.3422,18.5071,22.1986,6.7696
JPM,medium,90,0.8214,-1.4494,32.8576,39.5375,11.5019
JPM,long,180,0.5759,-5.682,41.0374,52.3489,13.7103
MSFT,short,30,0.9379,-0.3663,47.9991,60.6568,10.7655
MSFT,medium,90,0.8305,-4.5169,97.7319,119.6113,21.1406
MSFT,long,180,0.5338,-7.6141,129.6401,140.0147,27.7224
PFE,short,30,0.8492,0.3838,1.0643,1.438,4.5344
PFE,medium,90,0.7767,-2.3977,2.5716,3.4422,11.2831
PFE,long,180,0.7399,-20.6534,6.3056,8.1443,27.3407
WMT,short,30,0.9588,0.5702,6.9548,9.0589,6.8437
WMT,medium,90,0.9016,-1.9757,21.2903,23.003,20.2183
WMT,long,180,0.8431,-14.9512,45.2211,50.471,40.2674
XOM,short,30,0.9579,0.5764,9.1238,12.9144,6.9694
XOM,medium,90,0.9104,-0.1338,16.6579,21.3743,12.5291
XOM,long,180,0.8773,-0.452,18.366,24.2889,13.5716
