ticker,sector,year,month,quarter,month_name,year_month,open_price,close_price,high_price,low_price,avg_close,total_volume,avg_volume,monthly_return,avg_daily_return,monthly_volatility,avg_volatility,max_drawdown,end_rsi,avg_rsi,end_ma50,end_ma200,golden_cross,trading_days,mom_pct_change
AAPL,Technology,2020,1,1,Jan,2020-01,71.3441,74.5399,78.9567,70.5035,75.1194,2934370400,139731923.8095,3.3059,0.1653,1.7679,1.3157,-4.5724,49.37,62.3305,75.12,75.12,0,21,
AAPL,Technology,2020,2,1,Feb,2020-02,73.2851,65.9901,78.9921,61.8886,75.1035,3019279200,158909431.5789,-11.6068,-0.6109,2.2904,1.8177,-16.4548,22.03,46.9989,75.11,75.11,0,19,-11.4701
AAPL,Technology,2020,3,1,Mar,2020-03,68.1434,61.3865,73.3867,51.3248,63.3549,6280072400,285457836.3636,-2.7753,-0.1261,5.7696,4.5404,-31.4273,44.35,39.2959,70.17,70.94,0,22,-6.9762
AAPL,Technology,2020,4,2,Apr,2020-04,59.506,70.9243,71.1006,57.1885,65.755,3265299200,155490438.0952,15.4114,0.7339,3.6438,5.3298,-26.3723,66.33,62.0043,65.43,69.63,0,21,15.5374
AAPL,Technology,2020,5,2,May,2020-05,69.1018,76.9596,78.4846,69.0052,74.9857,2805936000,140296800.0,8.325,0.4162,1.6423,2.4253,-11.6534,59.88,69.6055,68.26,70.67,0,20,8.5094
AAPL,Technology,2020,6,2,Jun,2020-06,76.9136,88.3024,90.1372,76.7829,83.7048,3243375600,147426163.6364,14.2104,0.6459,1.7647,1.5743,-4.801,56.94,70.0373,77.67,72.96,1,22,14.7386
AAPL,Technology,2020,7,3,Jul,2020-07,88.3798,102.8839,103.034,86.3127,92.5299,3020283200,137285600.0,16.0901,0.7314,2.5395,1.8173,-5.8384,68.77,65.7155,86.77,75.89,1,22,16.5132
AAPL,Technology,2020,8,3,Aug,2020-08,104.7623,125.1654,127.0666,104.4645,113.7409,4070061100,193812433.3333,20.0882,0.9566,2.7373,2.6127,-3.8018,87.87,76.0419,100.73,80.62,1,21,21.6569
AAPL,Technology,2020,9,3,Sep,2020-09,128.7737,112.3327,133.837,100.0043,111.6684,3885245100,185011671.4286,-9.5848,-0.4564,3.1591,3.1208,-20.3756,53.43,45.6462,109.55,84.07,1,21,-10.2526
AAPL,Technology,2020,10,4,Oct,2020-10,114.1077,105.5913,121.625,104.4856,112.9177,2894666500,131575750.0,-5.3748,-0.2443,2.7236,2.8975,-18.8702,24.22,54.0155,113.66,87.8,1,22,-6.0012
