sector,year,annual_return_pct,avg_vol_pct,worst_drawdown_pct,avg_rsi,market_regime
Consumer,2020,510.4,200.58,-22.74,53.3,Strong Bull
Consumer,2021,34.52,124.07,-16.41,51.3,Strong Bull
Consumer,2022,-323.77,232.18,-53.39,48.3,Strong Bear
Consumer,2023,457.25,153.07,-50.91,55.5,Strong Bull
Consumer,2024,606.26,138.81,-19.49,60.2,Strong Bull
Consumer,2025,211.91,179.47,-30.88,52.7,Strong Bull
Consumer,2026,139.51,168.8,-21.74,56.4,Strong Bull
Energy,2020,-263.37,304.81,-55.0,43.8,Strong Bear
Energy,2021,571.61,172.19,-36.77,55.0,Strong Bull
Energy,2022,741.51,209.2,-24.95,57.7,Strong Bull
Energy,2023,-76.58,152.74,-22.26,50.0,Strong Bear
Energy,2024,98.36,119.85,-21.51,52.0,Strong Bull
Energy,2025,186.58,142.82,-20.64,53.8,Strong Bull
Energy,2026,343.02,167.49,-15.69,61.0,Strong Bull
Financials,2020,154.53,294.81,-48.95,50.6,Strong Bull
Financials,2021,464.39,151.97,-14.65,56.1,Strong Bull
Financials,2022,-144.14,191.06,-38.77,48.5,Strong Bear
Financials,2023,262.16,144.84,-36.79,54.4,Strong Bull
Financials,2024,464.56,146.26,-16.95,58.0,Strong Bull
Financials,2025,460.66,160.49,-30.9,58.4,Strong Bull
Financials,2026,29.64,166.3,-19.42,49.8,Strong Bull
Healthcare,2020,140.16,176.85,-29.3,51.2,Strong Bull
Healthcare,2021,382.16,115.83,-20.46,54.2,Strong Bull
Healthcare,2022,-15.07,143.05,-30.22,49.6,Mild Bear
Healthcare,2023,-361.07,118.37,-49.86,42.8,Strong Bear
Healthcare,2024,-26.89,121.05,-40.28,48.2,Strong Bear
Healthcare,2025,286.8,140.26,-29.0,55.7,Strong Bull
Healthcare,2026,145.08,119.22,-10.96,53.6,Strong Bull
Technology,2020,569.07,241.91,-31.43,57.2,Strong Bull
Technology,2021,515.16,143.16,-18.6,58.1,Strong Bull
Technology,2022,-378.76,226.22,-44.32,46.0,Strong Bear
Technology,2023,557.07,161.33,-41.76,57.1,Strong Bull
Technology,2024,325.33,143.18,-22.14,55.3,Strong Bull
Technology,2025,338.81,176.48,-33.36,54.2,Strong Bull
Technology,2026,111.86,168.04,-33.91,51.8,Strong Bull
