ticker,company_name,sector,annual_vol_pct,max_drawdown_pct,avg_daily_return_pct,sharpe_ratio_approx,risk_tier,recent_avg_rsi
AMZN,Amazon.com Inc.,Consumer,3357.43,-53.39,0.0891,0.0067,Very High Risk,69.0
GOOGL,Alphabet Inc.,Technology,3068.73,-44.32,0.1286,0.0106,Very High Risk,76.8
BAC,Bank of America Corp.,Financials,2986.98,-48.95,0.0555,0.0047,Very High Risk,43.0
XOM,ExxonMobil Corporation,Energy,2969.08,-55.0,0.0881,0.0075,Very High Risk,52.1
GS,Goldman Sachs Group,Financials,2951.09,-45.62,0.1208,0.0103,Very High Risk,57.7
AAPL,Apple Inc.,Technology,2861.42,-33.36,0.11,0.0097,Very High Risk,74.2
CVX,Chevron Corporation,Energy,2847.9,-54.83,0.0688,0.0061,Very High Risk,51.2
MSFT,Microsoft Corporation,Technology,2708.28,-37.15,0.0807,0.0075,Very High Risk,53.8
JPM,JPMorgan Chase & Co.,Financials,2693.74,-43.63,0.0782,0.0073,Very High Risk,45.1
PFE,Pfizer Inc.,Healthcare,2543.0,-49.86,0.0116,0.0011,Very High Risk,39.5
WMT,Walmart Inc.,Consumer,2092.0,-25.74,0.0854,0.0103,Very High Risk,55.8
JNJ,Johnson & Johnson,Healthcare,1750.37,-27.37,0.0479,0.0069,Very High Risk,42.2
