ticker,sector,year_month,close_price,monthly_return_pct,mom_change_pct,rolling_3m_momentum,avg_rsi,sector_rank,ma_signal,trend_label
AAPL,Technology,2026-05,308.82,13.18,13.91,5.41,77.2,1,Golden Cross,Mild Uptrend
AMZN,Consumer,2026-05,266.32,0.6,0.48,8.25,64.8,1,Golden Cross,Strong Uptrend
BAC,Financials,2026-05,51.8,-3.01,-3.11,1.65,39.4,3,Death Cross,Sideways
CVX,Energy,2026-05,191.43,0.17,-0.07,1.4,52.7,2,Golden Cross,Sideways
GOOGL,Technology,2026-05,382.97,-0.27,-0.48,7.35,75.6,3,Golden Cross,Mild Uptrend
GS,Financials,2026-05,996.73,7.9,7.9,5.45,57.5,1,Golden Cross,Mild Uptrend
JNJ,Healthcare,2026-05,234.34,2.04,1.95,-1.84,45.1,1,Golden Cross,Sideways
JPM,Financials,2026-05,306.38,-2.06,-2.19,1.01,42.5,2,Death Cross,Sideways
MSFT,Technology,2026-05,418.57,2.94,2.87,2.46,49.1,2,Death Cross,Mild Uptrend
PFE,Healthcare,2026-05,25.9,-1.35,-1.4,-1.48,39.1,2,Golden Cross,Sideways
WMT,Consumer,2026-05,120.27,-8.67,-8.66,-1.64,55.9,2,Golden Cross,Sideways
XOM,Energy,2026-05,154.92,1.42,1.06,1.1,54.8,1,Golden Cross,Sideways
AAPL,Technology,2026-04,271.1,6.92,6.92,1.8,63.1,3,Golden Cross,Sideways
AMZN,Consumer,2026-04,265.06,24.54,27.27,3.86,77.8,1,Death Cross,Mild Uptrend
BAC,Financials,2026-04,53.46,9.37,9.66,0.61,72.5,1,Death Cross,Sideways
CVX,Energy,2026-04,191.56,-6.41,-6.57,3.53,38.4,1,Golden Cross,Mild Uptrend
GOOGL,Technology,2026-04,384.8,29.92,33.82,4.83,71.0,1,Golden Cross,Mild Uptrend
GS,Financials,2026-04,923.77,9.1,9.19,0.24,70.3,2,Golden Cross,Sideways
JNJ,Healthcare,2026-04,229.85,-6.03,-5.97,0.67,41.2,2,Golden Cross,Sideways
JPM,Financials,2026-04,313.23,6.95,7.03,1.2,67.1,3,Death Cross,Sideways
MSFT,Technology,2026-04,406.9,10.14,10.16,-1.35,61.7,2,Death Cross,Sideways
PFE,Healthcare,2026-04,26.27,-4.87,-4.91,0.55,47.6,1,Golden Cross,Sideways
WMT,Consumer,2026-04,131.68,6.28,6.16,3.79,57.2,2,Golden Cross,Mild Uptrend
XOM,Energy,2026-04,153.29,-9.0,-9.04,3.5,38.9,2,Golden Cross,Mild Uptrend
AAPL,Technology,2026-03,253.56,-3.86,-3.93,-2.01,36.1,1,Golden Cross,Mild Downtrend
AMZN,Consumer,2026-03,208.27,-0.39,-0.82,-3.02,52.2,1,Death Cross,Mild Downtrend
BAC,Financials,2026-03,48.75,-1.42,-1.61,-3.55,33.6,2,Golden Cross,Mild Downtrend
CVX,Energy,2026-03,205.02,10.45,10.78,10.77,73.1,2,Golden Cross,Strong Uptrend
GOOGL,Technology,2026-03,287.56,-7.59,-7.7,-2.53,41.3,3,Golden Cross,Mild Downtrend
GS,Financials,2026-03,845.99,-0.64,-1.06,-0.59,35.6,1,Golden Cross,Sideways
JNJ,Healthcare,2026-03,244.44,-1.52,-1.61,5.84,45.3,2,Golden Cross,Mild Uptrend
JPM,Financials,2026-03,292.66,-1.87,-2.04,-2.61,36.0,3,Death Cross,Mild Downtrend
MSFT,Technology,2026-03,369.37,-5.7,-5.75,-8.37,39.9,2,Death Cross,Strong Downtrend
PFE,Healthcare,2026-03,27.62,1.77,1.56,4.77,48.9,1,Golden Cross,Mild Uptrend
WMT,Consumer,2026-03,124.04,-2.53,-2.67,3.97,43.8,2,Golden Cross,Mild Uptrend
XOM,Energy,2026-03,168.52,10.89,11.25,11.99,64.5,1,Golden Cross,Strong Uptrend
AAPL,Technology,2026-02,263.94,2.33,1.91,-1.55,60.3,1,Golden Cross,Sideways
AMZN,Consumer,2026-02,210.0,-12.59,-12.24,-3.19,28.8,2,Golden Cross,Mild Downtrend
BAC,Financials,2026-02,49.55,-6.13,-6.33,-2.05,51.9,2,Golden Cross,Mild Downtrend
CVX,Energy,2026-02,185.06,6.54,6.61,7.6,73.3,2,Golden Cross,Mild Uptrend
GOOGL,Technology,2026-02,311.54,-7.83,-7.76,-0.67,35.5,2,Golden Cross,Sideways
